epoch,loss,val_loss
0,102.70279693603516,36.380907694498696
1,42.69064829899715,30.963006337483723
2,37.33793097275954,32.6519775390625
3,35.02414894104004,27.012874603271484
4,33.64267217195951,28.96936543782552
5,34.30756715627817,29.555776596069336
6,32.99718519357535,29.102423350016277
7,33.37299845768855,26.359140396118164
8,30.393156638512245,25.68665377298991
9,32.811525051410385,26.6291446685791
10,31.827705823458157,30.72923469543457
11,33.067247244027946,27.17382303873698
12,32.044079560499924,29.23430569966634
13,30.720931713397686,28.956919352213543
14,33.229173806997444,28.25075848897298
15,31.456770236675556,27.689619064331055
16,30.465432533851036,30.768253326416016
17,31.44931411743164,30.203081130981445
18,31.653423602764423,27.646385828653973
